Year_Month,Card_type,Line,Trip
Nov-16,Employee,Central Coast & Newcastle Line,25367
Nov-16,Free Travel,Central Coast & Newcastle Line,2608
Nov-16,School Student,Central Coast & Newcastle Line,83623
Nov-16,Senior/Pensioner,Central Coast & Newcastle Line,242001
Nov-16,Sgl Trip Rail Adult,Central Coast & Newcastle Line,13823
Nov-16,Sgl Trip Rail Child/Youth,Central Coast & Newcastle Line,2861
Nov-16,Adult,Hunter Line,39132
Nov-16,Child/Youth,Hunter Line,4032
Nov-16,Concession,Hunter Line,7739
Nov-16,Employee,Hunter Line,804
Nov-16,Free Travel,Hunter Line,111
Nov-16,School Student,Hunter Line,4699
Nov-16,Senior/Pensioner,Hunter Line,19218
Nov-16,Sgl Trip Rail Adult,Hunter Line,829
Nov-16,Sgl Trip Rail Child/Youth,Hunter Line,220
Nov-16,Adult,South Coast Line,614058
Nov-16,Child/Youth,South Coast Line,34017
Nov-16,Concession,South Coast Line,51374
Nov-16,Employee,South Coast Line,8917
Nov-16,Free Travel,South Coast Line,933
Nov-16,School Student,South Coast Line,28053
Nov-16,Senior/Pensioner,South Coast Line,116670
Nov-16,Sgl Trip Rail Adult,South Coast Line,6751
Nov-16,Sgl Trip Rail Child/Youth,South Coast Line,1230
Nov-16,Adult,Southern Highlands Line,49359
Nov-16,Child/Youth,Southern Highlands Line,5746
Nov-16,Concession,Southern Highlands Line,4661
Nov-16,Employee,Southern Highlands Line,923
Nov-16,Free Travel,Southern Highlands Line,220
Nov-16,School Student,Southern Highlands Line,1731
Nov-16,Senior/Pensioner,Southern Highlands Line,19116
Nov-16,Sgl Trip Rail Adult,Southern Highlands Line,581
Nov-16,Sgl Trip Rail Child/Youth,Southern Highlands Line,116
Nov-16,Adult,"T1 North Shore, Northern and Western Line",9221978
Nov-16,Child/Youth,"T1 North Shore, Northern and Western Line",404288
Nov-16,Concession,"T1 North Shore, Northern and Western Line",677907
Nov-16,Employee,"T1 North Shore, Northern and Western Line",121988
Nov-16,Free Travel,"T1 North Shore, Northern and Western Line",12608
